make,model_name,model_details,price,kms,year,transmission,detailsLink,type1,type2,type 3,,,
Toyota,fortuner, 3.0 D-4D 4X4,"275,000","194,000",2011,Manual,https://www.namcars.net/Toyota-FORTUNER-3.0-D-4D-4X4-1400729299,4x4,,SUV,,,
Toyota,hilux, XC 2.8GD6 4x4 Raider MT,"414,900","193,600",2018,Manual,https://www.namcars.net/Toyota-Hilux-XC-2.8GD6-4x4-Raider-MT-1400730666,4x4,,,,,
Toyota,hilux, GD6 Raider,"499,995","192,000",2021,Automatic,https://www.namcars.net/Toyota-Hilux-GD6-Raider-1400734866,4x4,Bakkie,,,,
Ford,ford, Ranger 2.2 XL,"299,000","191,591",2016,Manual,https://www.namcars.net/Ford-Ford-Ranger-2.2-XL-1400733158,4x4,Bakkie,,,,
Isuzu,kb,2.4,"269,000","190,740",2017,Manual,https://www.namcars.net/Isuzu-KB-2.4-1400733321,4x4,Bakkie,,,,
Toyota,toyota, HILUX 2.7 RAIDER S/CA...,"225,000","190,000",2012,Manual,https://www.namcars.net/Toyota-TOYOTA-HILUX-2.7-RAIDER-S-CAB-2x4-1400733211,,,,,,
Toyota,corolla, 1.6 Esteem MT - NO D...,"189,900","190,000",2019,Manual,https://www.namcars.net/Toyota-Corolla-1.6-Esteem-MT-NO-DEPOSIT-DEAL-1400735163,,,,,,
Ford,ranger, 2.2 tdci XLT 4x4,"249,000","189,000",2014,Manual,https://www.namcars.net/Ford-Ranger-2.2-tdci-XLT-4x4-1400734819,4x4,Bakkie,,,,
Toyota,land, Cruiser 4.5 EFi,"349,000","188,000",2003,Manual,https://www.namcars.net/Toyota-Land-Cruiser-4.5-EFi-1400734816,4x4,,,,,
Land Rover,discovery, 3 TD v6 S A/t 140kW,"169,900","188,000",2008,Automatic,https://www.namcars.net/Land-Rover-Discovery-3-TD-v6-S-A-t-140kW-1400734960,4x4,,SUV,,,
Nissan,np300, H/Body D/C 4x4,"209,000","187,000",2014,Manual,https://www.namcars.net/Nissan-NP300-H-Body-D-C-4x4-1400733019,4x4,Bakkie,,,,
Volkswagen,amarok, 2.0 BITDI Highline 4M...,"379,900","186,500",2016,Automatic,https://www.namcars.net/Volkswagen-Amarok-2.0-BITDI-Highline-4Motion-A-T-132Kw-1400734553,,Bakkie,,,,
Toyota,fortuner, 2.8 2x4 MT,"379,000","185,488",2018,Manual,https://www.namcars.net/Toyota-Fortuner-2.8-2x4-MT-1400733366,,,SUV,,,
Isuzu,kb, 250 S/C 4x2,"159,900","184,784",2015,Manual,https://www.namcars.net/Isuzu-KB-250-S-C-4x2-1400735142,,Bakkie,,,,
Toyota,Isis,-,"80,000","184,424",2010,Automatic,https://www.namcars.net/Toyota-Isis-1400734933,,,SUV,,,
Mercedes-Benz,sprinter, 2.3 4x4 Safari Camper,"699,900","184,321",2008,Manual,https://www.namcars.net/Mercedes-Benz-Sprinter-2.3-4x4-Safari-Camper-1400734776,4x4,,,,,
Toyota,land, Cruiser 4.0 V6 D/C 4X4,"469,900","184,000",2016,Manual,https://www.namcars.net/Toyota-Land-Cruiser-4.0-V6-D-C-4X4-1400733948,4x4,Bakkie,,,,
Volkswagen,tiguan, 1.4 TSI Trendline DSG...,"315,000","183,000",2021,Automatic,https://www.namcars.net/Volkswagen-Tiguan-1.4-TSI-Trendline-DSG-(110-KW)-1400734680,,,SUV,,,
Land Rover,range, Rover Sport 3.0D HSE LUX,"240,000","182,000",2012,Automatic,https://www.namcars.net/Land-Rover-Range-Rover-Sport-3.0D-HSE-LUX-1400735060,,,SUV,,,
Toyota,fortuner, 2.4gd-6 R/B Auto,"249,000","182,000",2017,Automatic,https://www.namcars.net/Toyota-Fortuner-2.4gd-6-R-B-Auto-1400733917,,,,,,
Toyota,hilux, 2.8 DG6 DC 4x4 auto Da...,"509,900","181,000",2018,Automatic,https://www.namcars.net/Toyota-Hilux-2.8-DG6-DC-4x4-auto-Dakar-1400734733,4x4,Bakkie,,,,
Ford,everest, 2.2 TDCi XLT Auto,"255,000","180,000",2017,Automatic,https://www.namcars.net/Ford-Everest-2.2-TDCi-XLT-Auto-1400734651,,,,,,
Ford,transit, Custom 2.2tdci Ambie...,"149,000","180,000",2015,Manual,https://www.namcars.net/Ford-Transit-Custom-2.2tdci-Ambiente-SWB-(92-KW)-Panel-Van-1400733417,,,,,,
Land Rover,range, Rover SP HSE TD V6,"230,000","179,000",2011,Automatic,https://www.namcars.net/Land-Rover-Range-Rover-SP-HSE-TD-V6-1400734514,4x4,,SUV,,,
Ford,ranger, 2.2 TDCI XLS D/C 4x4 ...,"329,900","178,000",2018,Automatic,https://www.namcars.net/Ford-Ranger-2.2-TDCI-XLS-D-C-4x4-A-T-1400734254,4x4,Bakkie,,,,
Volkswagen,touareg, 3.6 Fsi V6,"249,900","177,300",2012,Tiptronic,https://www.namcars.net/Volkswagen-Touareg-3.6-Fsi-V6-1400734719,,,SUV,,,
Volkswagen,amarok, 3.0 TDI H-LINE A/T D/...,"465,000","177,000",2017,Automatic,https://www.namcars.net/Volkswagen-Amarok-3.0-TDI-H-LINE-A-T-D-C-P-U-1400734235,4x4,Bakkie,,,,
Audi,a3, TFSI S Sportback,"189,995","177,000",2016,Automatic,https://www.namcars.net/Audi-A3-TFSI-S-Sportback-1400735111,,,,,,
Mazda,2, 1.3 Active,"85,000","177,000",2011,Manual,https://www.namcars.net/Mazda-2-1.3-Active-1400734347,,,,,,
Peugeot,207, 1.4 XR,"75,000","177,000",2009,Manual,https://www.namcars.net/Peugeot-207-1.4-XR-1400728807,,,,,,
Toyota,hilux, 2.8GD6 4x4 A/T,"539,900","176,265",2018,Automatic,https://www.namcars.net/Toyota-Hilux-2.8GD6-4x4-A-T-1400734365,4x4,Bakkie,,,,
Honda,cr-v, Comfort,"134,995","176,000",2014,Manual,https://www.namcars.net/Honda-CR-V-Comfort-1400734015,,,SUV,,,
Nissan,nv350, 2.5I 16SEATER,"369,900","176,000",2020,Manual,https://www.namcars.net/Nissan-NV350-2.5I-16SEATER-1400734647,,,,,,
Volkswagen,volkswagen, Jetta,"189,900","175,000",2016,Manual,https://www.namcars.net/Volkswagen-Volkswagen-Jetta-1400734897,,,,,,
Toyota,hilux, VVTI 2.0 SC,"189,000","175,000",2015,Manual,https://www.namcars.net/Toyota-Hilux-VVTI-2.0-SC-1400735158,,,,,,
Volkswagen,amarok, 2.0 BiTDi Highline 13...,"280,000","174,000",2015,Manual,https://www.namcars.net/Volkswagen-Amarok-2.0-BiTDi-Highline-132kw-1400734976,,Bakkie,,,,
Volkswagen,polo, Vivo 1.4 Trendline 5-Door,"99,000","174,000",2016,Manual,https://www.namcars.net/Volkswagen-Polo-Vivo-1.4-Trendline-5-Door-1400734539,,,,,,
Toyota,toyota, Hilux 2.4GD6 4x4 A/T,"449,900","172,333",2020,Automatic,https://www.namcars.net/Toyota-Toyota-Hilux-2.4GD6-4x4-A-T-1400735122,4x4,Bakkie,,,,
Toyota,hilux, 2.4 RB SR S/C,"329,000","172,000",2021,Manual,https://www.namcars.net/Toyota-Hilux-2.4-RB-SR-S-C-1400726865,,,,,,
Toyota,hilux, 2.0 VVTI S/C,"189,000","172,000",2015,Manual,https://www.namcars.net/Toyota-Hilux-2.0-VVTI-S-C-1400733016,,,,,,
Jeep,wrangler, Sport JK 3.8 4x4,"269,900","172,000",2007,Manual,https://www.namcars.net/Jeep-Wrangler-Sport-JK-3.8-4x4-1400735107,4x4,,SUV,,,
Toyota,fortuner, GD-6,"409,995","170,000",2016,Automatic,https://www.namcars.net/Toyota-Fortuner-GD-6-1400735057,4x4,,SUV,,,
Ford,ranger, 2.2 TDCI XLS 4x4 A/T ...,"329,900","170,000",2018,Automatic,https://www.namcars.net/Ford-Ranger-2.2-TDCI-XLS-4x4-A-T-2018-1400732891,4x4,Bakkie,,,,
Ford,everest, 2.2 6MT 2x4 XLS,"289,900","169,980",2018,Manual,https://www.namcars.net/Ford-Everest-2.2-6MT-2x4-XLS-1400732812,,,SUV,,,
Toyota,verso, 1.8 VVTI 7seater,"145,900","169,000",2010,Manual,https://www.namcars.net/Toyota-Verso-1.8-VVTI-7seater-1400734250,,,,,,
